Elección,Provincia,Concentración,Fragmentación,NEP,Voto en Blanco,Porcentaje voto blanco,Votos en blanco,Participacion,Electores,Votantes,Partido ganador,Porcentaje partido ganador,2do Partido,Porcentaje 2do partido,3er Partido,Porcentaje 3er partido,Region
GENERALES 2023,BUENOS AIRES,68.59,0.6893,3.22,BLANCO,2.64,269648,77.71,13124435,10199399,UNION POR LA PATRIA,42.88,LA LIBERTAD AVANZA,25.72,JUNTOS POR EL CAMBIO,24.1,CENTRO
GENERALES 2023,CATAMARCA,74.83,0.6804,3.13,BLANCO,5.16,12804,72.81,340606,247986,JUNTOS POR EL CAMBIO,41.23,LA LIBERTAD AVANZA,32.04,JUNTOS POR EL CAMBIO,17.17,NOA
GENERALES 2023,CHACO,71.47,0.6723,3.05,BLANCO,1.1,7960,72.45,1000094,724566,UNION POR LA PATRIA,42.79,LA LIBERTAD AVANZA,27.77,JUNTOS POR EL CAMBIO,24.14,NEA
GENERALES 2023,CHUBUT,67.28,0.723,3.61,BLANCO,1.27,4502,74.54,474701,353825,UNION POR LA PATRIA,43.7,UNION POR LA PATRIA,32.26,JUNTOS POR EL CAMBIO,20.59,PATAGONIA
GENERALES 2023,CIUDAD AUTONOMA DE BUENOS AIRES,73.5,0.6842,3.17,BLANCO,1.69,32311,75.65,2526676,1911431,LA LIBERTAD AVANZA,35.02,UNION POR LA PATRIA,32.28,LA LIBERTAD AVANZA,19.85,CENTRO
GENERALES 2023,CORDOBA,62.56,0.7339,3.76,BLANCO,0.77,17852,76.19,3060943,2332248,LA LIBERTAD AVANZA,33.55,HACEMOS POR NUESTRO PAIS,29.01,JUNTOS POR EL CAMBIO,22.63,CENTRO
GENERALES 2023,CORRIENTES,69.33,0.6852,3.18,BLANCO,1.1,7879,76.8,930212,714443,UNION POR LA PATRIA,37.21,JUNTOS POR EL CAMBIO,32.12,LA LIBERTAD AVANZA,26.89,NEA
GENERALES 2023,ENTRE RIOS,63.35,0.7072,3.42,BLANCO,4.25,37352,76.8,1145440,879653,UNION POR LA PATRIA,33.26,JUNTOS POR EL CAMBIO,30.09,LA LIBERTAD AVANZA,29.75,CENTRO
GENERALES 2023,FORMOSA,81.37,0.6175,2.61,BLANCO,1.28,4675,75.61,482420,364755,UNION POR LA PATRIA,52.33,LA LIBERTAD AVANZA,29.04,JUNTOS POR EL CAMBIO,15.4,NEA
GENERALES 2023,JUJUY,69.71,0.7101,3.45,BLANCO,1.35,6253,78.35,590950,463017,LA LIBERTAD AVANZA,37.39,UNION POR LA PATRIA,32.32,JUNTOS POR EL CAMBIO,19.94,NOA
GENERALES 2023,LA PAMPA,68.33,0.7123,3.48,BLANCO,0.89,2058,77.33,300032,232000,UNION POR LA PATRIA,34.8,LA LIBERTAD AVANZA,33.53,JUNTOS POR EL CAMBIO,21.92,CENTRO
GENERALES 2023,LA RIOJA,78.76,0.668,3.01,BLANCO,1.49,3606,79.62,304409,242363,UNION POR LA PATRIA,41.1,LA LIBERTAD AVANZA,37.65,JUNTOS POR EL CAMBIO,11.8,NOA
GENERALES 2023,MENDOZA,68.21,0.6932,3.26,BLANCO,1.65,18862,76.45,1494888,1142804,LA LIBERTAD AVANZA,42.36,JUNTOS POR EL CAMBIO,26,UNION POR LA PATRIA,23.98,CUYO
GENERALES 2023,MISIONES,80.04,0.656,2.91,BLANCO,2.74,20570,75.89,989204,750671,LA LIBERTAD AVANZA,42.13,UNION POR LA PATRIA,38,JUNTOS POR EL CAMBIO,14.44,CUYO
GENERALES 2023,NEUQUEN,68.49,0.716,3.52,BLANCO,2.69,11918,79.86,554077,442495,LA LIBERTAD AVANZA,36.71,UNION POR LA PATRIA,32,JUNTOS POR EL CAMBIO,20.54,PATAGONIA
GENERALES 2023,RIO NEGRO,71.58,0.7045,3.38,BLANCO,2.81,12923,77.05,595968,459214,UNION POR LA PATRIA,37.85,LA LIBERTAD AVANZA,34,JUNTOS POR EL CAMBIO,18.14,PATAGONIA
GENERALES 2023,SALTA,78.01,0.6716,3.05,BLANCO,1.09,8529,71.66,1091792,782342,LA LIBERTAD AVANZA,40.4,UNION POR LA PATRIA,38,JUNTOS POR EL CAMBIO,13.94,NOA
GENERALES 2023,SAN JUAN,68.33,0.7081,3.43,BLANCO,1.42,6474,74.91,607413,455037,LA LIBERTAD AVANZA,35.1,UNION POR LA PATRIA,33,JUNTOS POR EL CAMBIO,23.23,CUYO
GENERALES 2023,SAN LUIS,70.57,0.6895,3.22,BLANCO,1.79,5867,77.99,421037,328355,LA LIBERTAD AVANZA,43.37,UNION POR LA PATRIA,27,JUNTOS POR EL CAMBIO,20.97,CUYO
GENERALES 2023,SANTA CRUZ,74.18,0.6928,3.26,BLANCO,6.04,11268,70.25,265400,186441,UNION POR LA PATRIA,37.88,LA LIBERTAD AVANZA,36,JUNTOS POR EL CAMBIO,16.36,PATAGONIA
GENERALES 2023,SANTA FE,62.16,0.7256,3.64,BLANCO,0.91,18791,73.22,2827794,2070486,LA LIBERTAD AVANZA,32.48,UNION POR LA PATRIA,30,JUNTOS POR EL CAMBIO,26.89,CENTRO
GENERALES 2023,SANTIAGO DEL ESTERO,88.48,0.511,2.04,BLANCO,1.28,8055,77.15,814128,628087,UNION POR LA PATRIA,65.5,LA LIBERTAD AVANZA,23,JUNTOS POR EL CAMBIO,8.09,NOA
GENERALES 2023,TIERRA DEL FUEGO,72.03,0.7074,3.42,BLANCO,1.45,1588,74.11,147968,109652,UNION POR LA PATRIA,38.21,LA LIBERTAD AVANZA,34,JUNTOS POR EL CAMBIO,14.96,PATAGONIA
GENERALES 2023,TUCUMAN,79.92,0.6524,2.88,BLANCO,2.08,22416,81.8,1319493,1079405,UNION POR LA PATRIA,44.98,LA LIBERTAD AVANZA,35,JUNTOS POR EL CAMBIO,14.62,NOA